TableInfos;;;;;;;;;;;;;;;;;;;;
ID;Title;ShortTitle;Identifier;Summary;Modified;ReasonDelivery;ExplanatoryText;Language;Catalog;Frequency;Period;ShortDescription;Description;DefaultPresentation;DefaultSelection;GraphTypes;OutputStatus;Source;MetaDataModified;SearchPriority
2.6.10;2.6.10 Bestrijdingsmiddelen;"M021 Gebruik bestrijdingsmiddelen
M022 Opslag en voorhanden hebben bestrijdingsmiddelen
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
2.6.11;2.6.11 Natuur en landschap;"M23 Wet inzake luchtverontreiniging
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
2.6.12;2.6.12 Ruimtelijke ordening;"M11 Ruimtelijke ordening
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
2.6.13;2.6.13 Dieren;"M051 Gezondheid en welzijn dieren en dierenvervoer
 M102 Cites (uitheemse planten en dieren)
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
2.6.14;2.6.14 Voedselveiligheid;"M12 Voedselveiligheid en slacht
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
2.7.2 ;2.7.2 Bijzondere wetten;"F91 Misdrijven wet op de kansspelen
F92 Telecommunicatiewet
F93 Misdrijven anders
F94 Witwassen
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
2.7.3 ;2.7.3 Leefbaarheid (overig);"F16 Lokaalvredebreuk
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.1.1 ;3.1.1 Drugshandel;"F40 Bezit hard-drugs (lijst 1)
F41 Bezit softdrugs (lijst 2)
F42 Handel e.d. hard-drugs (lijst 1)
F43 Handel e.d. softdrugs (lijst 2)
F44 Vervaardigen hard-drugs (lijst 1)
F45 Vervaardigen softdrugs (lijst 2)
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.1.2 ;3.1.2 Mensensmokkel;"F5294 Mensensmokkel
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.1.3 ;3.1.3 Wapenhandel;"F70 Bezit vuurwapens
F71 Handel vuurwapens
F72 Bezit overige wapens
F73 Handel overige wapens
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.2.1 ;3.2.1 Kinderporno;"F5291 Kinderpornografie
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.2.2 ;3.2.2 Kinderprostitutie;"F5292 Kinderprostitutie
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.3.2 ;3.3.2 Onder invloed (lucht);"L90 Vliegen onder invloed drugs/medicijnen
L91 Vliegen onder invloed alcohol
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.3.5 ;3.3.5 Lucht (overig);"L21 Luchtvaartwet
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.4.2 ;3.4.2 Onder invloed (water);"L80 Varen onder invloed drugs/medicijnen
L81 Varen onder invloed alcohol
L83 Weigeren ademanalyse (varen)
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.5.2 ;3.5.2 Onder invloed (weg);"D20 Rijden onder invloed drugs/medicijnen
D21 Rijden onder invloed alcohol
D23 Weigeren ademanalyse
D24 Weigeren bloedproef
D25 Weigeren vervangend (urine)onderzoek
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.5.5 ;3.5.5 Weg (overig);"D40 Rijden tijdens rijverbod
D41 Rijden terwijl rijbewijs is ingevorderd
D42 Rijden tijdens ontzegging rijbevoegdheid
D44 Rijden met ongeldig verklaard rijbewijs
D50 Joyriding
D51 Vals kenteken/kentekenplaten
D52 Overig verkeersmisdrijf
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.6.4 ;3.6.4 Aantasting openbare orde;"F10 Overige delicten openbare orde
F17 Wederspannigheid (verzet)
F18 Niet voldoen aan bevel/vordering
F19 Overige misdrijven tegen het openbaar gezag
F30 Valse identiteit opgeven
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.7.1 ;3.7.1 Discriminatie;"F50 Discriminatie
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.7.2 ;3.7.2 Vreemdelingenzorg;"F0064 Zich als ongewenst verklaarde vreemdeling in NL bevinden
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
