"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Barendrecht";"Bevolking aan het einde van de periode";"aantal";"35880";"37257";"39294";"41249";"43044";"44962";"45861";"46449";"46831";"47053";"47371";"47377";"47521";"47861";"48344";"48477";"48673";"48714";"48643";"48714";"48812";"48690";"48550"
"Barneveld";"Bevolking aan het einde van de periode";"aantal";"49423";"50019";"50026";"50448";"50953";"51486";"52066";"52490";"53026";"53521";"53751";"54141";"54703";"55441";"56376";"57339";"57971";"59082";"59992";"60584";"61655";"62592";"63152"
"Bathmen";"Bevolking aan het einde van de periode";"aantal";"5280";"5328";"5339";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bedum";"Bevolking aan het einde van de periode";"aantal";"10883";"10816";"10733";"10675";"10601";"10550";"10462";"10447";"10495";"10508";"10553";"10494";"10441";"10433";"10479";"10475";"10493";"";"";"";"";"";""
"Beek (L.)";"Bevolking aan het einde van de periode";"aantal";"17065";"17105";"17020";"16926";"16717";"16696";"16607";"16579";"16548";"16457";"16367";"16271";"16214";"16068";"15951";"15895";"15929";"15865";"15875";"15817";"16132";"16215";"16251"
"Beekdaelen";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35938";"36065";"35922";"35966";"35896";"35824"
"Beemster";"Bevolking aan het einde van de periode";"aantal";"8536";"8541";"8524";"8515";"8476";"8474";"8564";"8584";"8573";"8719";"8785";"8910";"8903";"8958";"9205";"9550";"9748";"10022";"10110";"10703";"";"";""
"Beesel";"Bevolking aan het einde van de periode";"aantal";"13466";"13341";"13401";"13521";"13646";"13643";"13795";"13902";"13844";"13742";"13688";"13617";"13511";"13388";"13405";"13444";"13519";"13482";"13450";"13408";"13449";"13394";"13524"
"Bellingwedde";"Bevolking aan het einde van de periode";"aantal";"9671";"9704";"9694";"9740";"9514";"9497";"9270";"9261";"9402";"9283";"8985";"8920";"9154";"8971";"8919";"8816";"";"";"";"";"";"";""
"Bemmel";"Bevolking aan het einde van de periode";"aantal";"42467";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bennebroek";"Bevolking aan het einde van de periode";"aantal";"5307";"5225";"5145";"5131";"5156";"5094";"5185";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Berg en Dal";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34764";"34748";"34773";"34992";"35010";"34951";"35420";"35474";"35558"
"Bergambacht";"Bevolking aan het einde van de periode";"aantal";"9227";"9280";"9269";"9398";"9482";"9517";"9649";"9729";"9801";"9908";"9938";"9970";"10186";"";"";"";"";"";"";"";"";"";""
"Bergeijk";"Bevolking aan het einde van de periode";"aantal";"18093";"18137";"18100";"18060";"18094";"18099";"18087";"18061";"18073";"18123";"18191";"18256";"18209";"18253";"18342";"18398";"18491";"18635";"18754";"18879";"19092";"19196";"19263"
"Bergen (L.)";"Bevolking aan het einde van de periode";"aantal";"13463";"13477";"13576";"13612";"13561";"13499";"13402";"13391";"13350";"13286";"13275";"13237";"13152";"13090";"13095";"13106";"13140";"13085";"13108";"13106";"13119";"13154";"13062"
"Bergen (NH.)";"Bevolking aan het einde van de periode";"aantal";"31742";"31738";"31694";"31505";"31332";"31220";"31154";"30985";"30868";"30682";"30333";"30076";"30005";"29943";"29844";"29941";"29974";"29839";"29715";"29723";"30138";"29932";"29722"
"Bergen op Zoom";"Bevolking aan het einde van de periode";"aantal";"66024";"66140";"66298";"65767";"65440";"65242";"65582";"65845";"66074";"66130";"66287";"66419";"66320";"66237";"66164";"66354";"66811";"67496";"67514";"67894";"68864";"69694";"70194"
"Bergh";"Bevolking aan het einde van de periode";"aantal";"18416";"18390";"18416";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bergschenhoek";"Bevolking aan het einde van de periode";"aantal";"15185";"15870";"16181";"16606";"16694";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Berkel en Rodenrijs";"Bevolking aan het einde van de periode";"aantal";"17212";"17535";"18083";"19184";"20856";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Berkelland";"Bevolking aan het einde van de periode";"aantal";"";"";"";"45294";"45213";"45150";"45142";"44978";"44863";"44911";"44769";"44666";"44364";"44437";"44238";"44032";"43904";"43747";"43846";"43850";"44022";"43933";"43917"
"Bernheze";"Bevolking aan het einde van de periode";"aantal";"28848";"28868";"29216";"29544";"29644";"29663";"29615";"29655";"29728";"29802";"29775";"29690";"29729";"29880";"30252";"30550";"30806";"31240";"31455";"31715";"32263";"32527";"32606"
"Bernisse";"Bevolking aan het einde van de periode";"aantal";"12712";"12684";"12650";"12673";"12669";"12540";"12545";"12455";"12404";"12426";"12398";"12368";"12381";"";"";"";"";"";"";"";"";"";""
"Best";"Bevolking aan het einde van de periode";"aantal";"28244";"28658";"28925";"29026";"29006";"29089";"29017";"28953";"28810";"28696";"28637";"28617";"28737";"28976";"29180";"29497";"29821";"29988";"30216";"30608";"30897";"31223";"31652"
"Beuningen";"Bevolking aan het einde van de periode";"aantal";"25361";"25459";"25291";"25078";"25231";"25321";"25304";"25481";"25507";"25433";"25324";"25288";"25282";"25289";"25424";"25798";"25882";"25890";"26157";"26235";"26573";"26725";"26749"
