"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Oldebroek";"Bevolking aan het einde van de periode";"aantal";"22892";"22951";"22966";"22880";"22800";"22771";"22622";"22750";"22659";"22716";"22774";"22835";"23001";"23104";"23256";"23504";"23598";"23646";"23760";"23930";"24264";"24281";"24417"
"Oldenzaal";"Bevolking aan het einde van de periode";"aantal";"31374";"31392";"31373";"31297";"31416";"31584";"31764";"31974";"32176";"32176";"32200";"32137";"32120";"32110";"32006";"31915";"31840";"31836";"31701";"31741";"31925";"31794";"32021"
"Olst";"Bevolking aan het einde van de periode";"aantal";"17002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Olst-Wijhe";"Bevolking aan het einde van de periode";"aantal";"";"17035";"17079";"17247";"17327";"17334";"17482";"17540";"17502";"17659";"17751";"17770";"17839";"17886";"17957";"18023";"18071";"18252";"18361";"18496";"18682";"18835";"19003"
"Ommen";"Bevolking aan het einde van de periode";"aantal";"16966";"16938";"17028";"17303";"17311";"17419";"17446";"17404";"17329";"17380";"17314";"17361";"17341";"17696";"17531";"17630";"17813";"18009";"18295";"18457";"18955";"19031";"19249"
"Onderbanken";"Bevolking aan het einde van de periode";"aantal";"8420";"8412";"8396";"8366";"8391";"8240";"8147";"8109";"8016";"7966";"7905";"7881";"7866";"7869";"7865";"7857";"7782";"";"";"";"";"";""
"Oost Gelre";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"29873";"30012";"30026";"30113";"30005";"29873";"29700";"29533";"29537";"29634";"29672";"29704";"29627";"29574";"29603";"29846";"29969";"30048"
"Oostburg";"Bevolking aan het einde van de periode";"aantal";"18227";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Oosterhout";"Bevolking aan het einde van de periode";"aantal";"53136";"53121";"52921";"52853";"53295";"53785";"54198";"54136";"54072";"54006";"53686";"53717";"53793";"54018";"54604";"55147";"55616";"55982";"56206";"56535";"57425";"57924";"58380"
"Oostflakkee";"Bevolking aan het einde van de periode";"aantal";"10163";"10126";"10131";"10233";"10154";"10178";"10101";"10365";"10406";"10407";"10334";"";"";"";"";"";"";"";"";"";"";"";""
"Ooststellingwerf";"Bevolking aan het einde van de periode";"aantal";"26761";"26683";"26491";"26125";"26224";"26398";"26288";"26235";"26004";"25858";"25836";"25672";"25617";"25571";"25540";"25459";"25497";"25469";"25464";"25680";"25837";"25824";"25925"
"Oostzaan";"Bevolking aan het einde van de periode";"aantal";"9118";"9176";"9182";"9200";"9248";"9205";"9201";"9149";"9114";"9097";"9141";"9139";"9187";"9504";"9652";"9735";"9757";"9735";"9689";"9639";"9720";"9694";"9733"
"Opmeer";"Bevolking aan het einde van de periode";"aantal";"11220";"11201";"11252";"11268";"11212";"11244";"11289";"11386";"11420";"11393";"11379";"11368";"11301";"11336";"11420";"11526";"11779";"11836";"12009";"12074";"12180";"12199";"12491"
"Opsterland";"Bevolking aan het einde van de periode";"aantal";"29000";"29436";"29472";"29565";"29583";"29703";"29777";"30039";"29991";"29952";"29896";"29863";"29859";"29830";"29718";"29753";"29723";"29733";"29812";"29791";"30054";"30059";"30012"
"Oss";"Bevolking aan het einde van de periode";"aantal";"67646";"76307";"76300";"76416";"76652";"76732";"77097";"77392";"77516";"84639";"84861";"84954";"85170";"90003";"90376";"90951";"91451";"91915";"92526";"93307";"94437";"94634";"95239"
"Oud-Beijerland";"Bevolking aan het einde van de periode";"aantal";"23163";"23366";"23784";"23899";"24019";"23824";"23732";"23555";"23536";"23415";"23441";"23715";"23702";"23851";"24015";"24301";"24403";"";"";"";"";"";""
"Oude IJsselstreek";"Bevolking aan het einde van de periode";"aantal";"";"";"";"40214";"40068";"39905";"40010";"39897";"39922";"39839";"39779";"39595";"39558";"39657";"39568";"39520";"39473";"39388";"39346";"39387";"39613";"39402";"39499"
"Ouder-Amstel";"Bevolking aan het einde van de periode";"aantal";"13054";"13055";"13177";"13151";"13038";"13046";"13107";"13099";"13146";"13232";"13249";"13271";"13289";"13411";"13419";"13496";"13916";"14026";"14125";"14212";"14276";"14447";"14532"
"Ouderkerk";"Bevolking aan het einde van de periode";"aantal";"8119";"8095";"8069";"8105";"8187";"8156";"8144";"8151";"8141";"8049";"8147";"8211";"8241";"";"";"";"";"";"";"";"";"";""
"Oudewater";"Bevolking aan het einde van de periode";"aantal";"9754";"9795";"9947";"9941";"9953";"9917";"9898";"9843";"9815";"9850";"9872";"9873";"9924";"10049";"10187";"10180";"10201";"10230";"10138";"10159";"10232";"10223";"10355"
"Overbetuwe";"Bevolking aan het einde van de periode";"aantal";"40604";"41176";"42272";"42737";"43161";"44226";"45097";"45577";"45953";"46269";"46531";"46665";"46833";"47002";"47394";"47481";"47543";"47906";"48214";"48266";"48707";"48919";"48945"
"Papendrecht";"Bevolking aan het einde van de periode";"aantal";"30510";"30914";"31224";"31553";"31403";"31573";"31730";"31853";"31883";"32032";"32082";"32117";"32188";"32248";"32292";"32264";"32290";"32136";"32171";"32208";"32277";"32178";"32299"
"Peel en Maas";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"43188";"43271";"43302";"43314";"43448";"43316";"43347";"43312";"43311";"43425";"43660";"44278";"45276";"45534";"45881"
"Pekela";"Bevolking aan het einde van de periode";"aantal";"13580";"13482";"13449";"13395";"13304";"13262";"13130";"13054";"12954";"12868";"12804";"12706";"12678";"12641";"12517";"12245";"12214";"12196";"12176";"12196";"12404";"12517";"12459"
"Pijnacker-Nootdorp";"Bevolking aan het einde van de periode";"aantal";"35855";"37696";"39882";"41695";"42769";"43762";"45900";"48013";"49286";"50103";"50454";"51071";"51203";"51894";"52656";"53634";"54331";"55308";"55674";"56572";"57672";"57932";"58126"
"Purmerend";"Bevolking aan het einde van de periode";"aantal";"74921";"75831";"77068";"77922";"77955";"78434";"78862";"79038";"79193";"79266";"79482";"79576";"79611";"79889";"79928";"79983";"80117";"81249";"81683";"81537";"93992";"95168";"95912"
"Putten";"Bevolking aan het einde van de periode";"aantal";"23192";"23180";"23183";"23173";"23041";"23183";"23458";"23592";"23746";"23860";"23971";"23872";"24377";"24516";"24428";"24313";"24198";"24112";"24365";"24598";"24904";"24978";"24953"
"Raalte";"Bevolking aan het einde van de periode";"aantal";"36956";"37144";"37206";"37259";"37311";"37030";"36891";"36796";"36688";"36603";"36486";"36519";"36603";"36700";"36907";"37158";"37511";"37712";"37911";"38140";"38500";"38364";"38623"
"Ravenstein";"Bevolking aan het einde van de periode";"aantal";"8538";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Reeuwijk";"Bevolking aan het einde van de periode";"aantal";"12904";"12860";"12829";"12756";"12662";"12803";"12960";"13060";"13296";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Reiderland";"Bevolking aan het einde van de periode";"aantal";"7070";"7020";"6970";"6994";"7003";"7014";"6988";"6963";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Reimerswaal";"Bevolking aan het einde van de periode";"aantal";"20839";"20966";"21019";"21142";"21109";"21296";"21345";"21476";"21614";"21704";"21859";"21927";"22058";"22265";"22356";"22555";"22678";"22730";"22896";"22920";"23255";"23325";"23335"
"Renkum";"Bevolking aan het einde van de periode";"aantal";"32098";"31908";"31903";"31603";"31640";"31719";"31752";"31656";"31559";"31630";"31565";"31580";"31408";"31254";"31391";"31338";"31302";"31419";"31417";"31358";"31461";"31419";"31490"
"Renswoude";"Bevolking aan het einde van de periode";"aantal";"4205";"4266";"4305";"4346";"4463";"4482";"4532";"4602";"4752";"4822";"4893";"4924";"4976";"5051";"5101";"5175";"5259";"5444";"5556";"5651";"5747";"5753";"5782"
"Reusel-De Mierden";"Bevolking aan het einde van de periode";"aantal";"12353";"12371";"12301";"12314";"12367";"12384";"12432";"12555";"12606";"12654";"12670";"12713";"12774";"12811";"12908";"13040";"13060";"13112";"13127";"13271";"13542";"13577";"13653"
"Rheden";"Bevolking aan het einde van de periode";"aantal";"45012";"44886";"44773";"44189";"43950";"43763";"43679";"43724";"43982";"43612";"43679";"43640";"43625";"43824";"43645";"43527";"43640";"43761";"43525";"43435";"43570";"43661";"43782"
"Rhenen";"Bevolking aan het einde van de periode";"aantal";"17690";"17875";"17966";"17995";"18644";"18779";"18833";"18860";"18951";"19064";"19047";"19116";"19308";"19400";"19597";"19816";"20004";"20119";"20203";"20265";"20329";"20235";"20392"
"Ridderkerk";"Bevolking aan het einde van de periode";"aantal";"45873";"45528";"45106";"44757";"44679";"44689";"44646";"44746";"44889";"45208";"45330";"45253";"45149";"45097";"45408";"45789";"46241";"46189";"46671";"47099";"47477";"47721";"47999"
"Rijnsburg";"Bevolking aan het einde van de periode";"aantal";"14957";"14941";"14843";"14833";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Rijnwaarden";"Bevolking aan het einde van de periode";"aantal";"11226";"11198";"11103";"11066";"10999";"11008";"10994";"11080";"11010";"11008";"10968";"10917";"10912";"10866";"10852";"10810";"";"";"";"";"";"";""
"Rijnwoude";"Bevolking aan het einde van de periode";"aantal";"19013";"18986";"18883";"18863";"18771";"18704";"18696";"18547";"18465";"18618";"18577";"18484";"";"";"";"";"";"";"";"";"";"";""
"Rijssen";"Bevolking aan het einde van de periode";"aantal";"35885";"36170";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Rijssen-Holten";"Bevolking aan het einde van de periode";"aantal";"";"";"36362";"36417";"36584";"36667";"36792";"37080";"37433";"37561";"37608";"37661";"37830";"37875";"37983";"38097";"38300";"38177";"38204";"38231";"38493";"38675";"38836"
"Rijswijk (ZH.)";"Bevolking aan het einde van de periode";"aantal";"48094";"47693";"47379";"47152";"47041";"46833";"46758";"46672";"46671";"46990";"47372";"47634";"48216";"49328";"51027";"52208";"53467";"54450";"55220";"56941";"57997";"59642";"60717"
"Roerdalen";"Bevolking aan het einde van de periode";"aantal";"10557";"10418";"10331";"10288";"10411";"21142";"21333";"21307";"21239";"21092";"20996";"20832";"20699";"20686";"20700";"20728";"20615";"20574";"20580";"20558";"20702";"20806";"20836"
"Roermond";"Bevolking aan het einde van de periode";"aantal";"45344";"45159";"45348";"45457";"45458";"54446";"54731";"55212";"55595";"56165";"56690";"56929";"57005";"57010";"57390";"57761";"58209";"58260";"58763";"59184";"59981";"60743";"61210"
"Roggel en Neer";"Bevolking aan het einde van de periode";"aantal";"8415";"8375";"8479";"8412";"8463";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"De Ronde Venen";"Bevolking aan het einde van de periode";"aantal";"34499";"34437";"34438";"34353";"34565";"34569";"34528";"34400";"34213";"42977";"42846";"42642";"42588";"42576";"42763";"43620";"44059";"44456";"44720";"44955";"45572";"45813";"45921"
"Roosendaal";"Bevolking aan het einde van de periode";"aantal";"78110";"77916";"77734";"77703";"77450";"77277";"77482";"77566";"77541";"77426";"77155";"77027";"76874";"76960";"77163";"77000";"77032";"77251";"77200";"77244";"77613";"77559";"77721"
"Rotterdam";"Bevolking aan het einde van de periode";"aantal";"599651";"598923";"596407";"588697";"584058";"582951";"587134";"593049";"610386";"616260";"616294";"618357";"623652";"629606";"634660";"638712";"644618";"651168";"651631";"655468";"663900";"670610";"672960"
"Rozenburg";"Bevolking aan het einde van de periode";"aantal";"13241";"13173";"13095";"12843";"12680";"12553";"12475";"12494";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Rozendaal";"Bevolking aan het einde van de periode";"aantal";"1527";"1509";"1513";"1502";"1527";"1511";"1515";"1495";"1512";"1514";"1501";"1503";"1509";"1498";"1498";"1575";"1654";"1704";"1726";"1756";"1754";"1831";"1836"
"Rucphen";"Bevolking aan het einde van de periode";"aantal";"22607";"22624";"22527";"22412";"22408";"22473";"22549";"22484";"22430";"22320";"22268";"22180";"22233";"22276";"22345";"22401";"22572";"22878";"23080";"23326";"23636";"23920";"23995"
"Ruurlo";"Bevolking aan het einde van de periode";"aantal";"8584";"8676";"8727";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sas van Gent";"Bevolking aan het einde van de periode";"aantal";"8620";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sassenheim";"Bevolking aan het einde van de periode";"aantal";"14841";"14829";"14844";"14813";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Schagen";"Bevolking aan het einde van de periode";"aantal";"17488";"18198";"18602";"18749";"19083";"19064";"18759";"18736";"18671";"18653";"18566";"45978";"46137";"46159";"46193";"46379";"46553";"46483";"46532";"46833";"47450";"47744";"48378"
"Scheemda";"Bevolking aan het einde van de periode";"aantal";"14370";"14328";"14173";"14109";"14117";"14234";"14255";"14252";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Schermer";"Bevolking aan het einde van de periode";"aantal";"4849";"4900";"4878";"4895";"5139";"5307";"5324";"5360";"5359";"5456";"5501";"5539";"5452";"";"";"";"";"";"";"";"";"";""
"Scherpenzeel";"Bevolking aan het einde van de periode";"aantal";"9039";"9033";"8961";"8933";"8926";"9037";"9141";"9316";"9327";"9354";"9403";"9498";"9522";"9529";"9704";"9751";"9873";"9880";"10128";"10317";"10386";"10343";"10539"
"Schiedam";"Bevolking aan het einde van de periode";"aantal";"75802";"75619";"75487";"75389";"75162";"74947";"75326";"75565";"75718";"76244";"76216";"76450";"76869";"77108";"77838";"77907";"77999";"78730";"79279";"79644";"80628";"81838";"82232"
"Schiermonnikoog";"Bevolking aan het einde van de periode";"aantal";"1000";"992";"997";"986";"946";"951";"946";"942";"957";"932";"960";"942";"926";"919";"941";"932";"936";"947";"931";"944";"982";"972";"971"
"Schijndel";"Bevolking aan het einde van de periode";"aantal";"23400";"23319";"22990";"22935";"22912";"22878";"22889";"22991";"23044";"23016";"23262";"23360";"23543";"23625";"23722";"";"";"";"";"";"";"";""
"Schinnen";"Bevolking aan het einde van de periode";"aantal";"13598";"13634";"13535";"13439";"13448";"13418";"13478";"13494";"13408";"13202";"12950";"12901";"12992";"12960";"12954";"12911";"12758";"";"";"";"";"";""
"Schipluiden";"Bevolking aan het einde van de periode";"aantal";"11175";"11178";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Schoonhoven";"Bevolking aan het einde van de periode";"aantal";"12254";"12303";"12284";"12215";"12189";"12132";"12001";"11985";"11922";"11814";"11864";"11903";"11898";"";"";"";"";"";"";"";"";"";""
"Schouwen-Duiveland";"Bevolking aan het einde van de periode";"aantal";"34484";"34415";"34491";"34435";"34132";"33994";"33929";"34118";"34203";"34151";"34040";"33852";"33821";"33735";"33765";"33687";"33779";"33839";"34065";"34152";"34561";"34631";"34412"
"Sevenum";"Bevolking aan het einde van de periode";"aantal";"7312";"7373";"7469";"7543";"7625";"7652";"7693";"7730";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Simpelveld";"Bevolking aan het einde van de periode";"aantal";"11448";"11436";"11430";"11317";"11319";"11206";"11090";"10996";"10953";"10914";"10920";"10844";"10844";"10741";"10571";"10561";"10516";"10555";"10477";"10425";"10396";"10255";"10270"
"Sint Anthonis";"Bevolking aan het einde van de periode";"aantal";"11799";"11843";"11671";"11676";"11766";"11789";"11786";"11842";"11796";"11803";"11760";"11691";"11612";"11594";"11594";"11577";"11606";"11664";"11691";"11790";"";"";""
"Sint-Michielsgestel";"Bevolking aan het einde van de periode";"aantal";"27961";"27886";"27902";"28013";"27921";"28100";"28267";"28138";"28114";"28128";"28040";"28121";"28395";"28403";"28584";"28673";"28991";"29208";"29498";"29731";"30135";"30094";"30176"
"Sint-Oedenrode";"Bevolking aan het einde van de periode";"aantal";"17034";"16982";"16928";"17047";"17171";"17220";"17427";"17680";"17818";"17910";"17921";"17934";"17937";"17896";"17892";"";"";"";"";"";"";"";""
"Sittard-Geleen";"Bevolking aan het einde van de periode";"aantal";"97806";"97487";"97055";"96663";"96245";"95691";"95327";"95243";"94814";"94535";"94024";"93691";"93724";"93555";"93319";"92956";"92661";"92429";"91743";"91719";"92234";"92650";"92491"
"Skarsterlân";"Bevolking aan het einde van de periode";"aantal";"27258";"27096";"27081";"27067";"27051";"27097";"27152";"27289";"27376";"27520";"27419";"27501";"";"";"";"";"";"";"";"";"";"";""
"Sliedrecht";"Bevolking aan het einde van de periode";"aantal";"23820";"23837";"23902";"23801";"23774";"23765";"23895";"24051";"24061";"24232";"24389";"24528";"24758";"24968";"25012";"25020";"25026";"25220";"25597";"25897";"26184";"26261";"26601"
"Slochteren";"Bevolking aan het einde van de periode";"aantal";"15121";"14906";"14921";"14938";"15186";"15564";"15591";"15555";"15546";"15536";"15622";"15548";"15583";"15698";"15770";"14782";"";"";"";"";"";"";""
"Sluis";"Bevolking aan het einde van de periode";"aantal";"";"24596";"24605";"24357";"24325";"24238";"24156";"24089";"23979";"23892";"23886";"23820";"23747";"23639";"23658";"23526";"23386";"23210";"23166";"23141";"23243";"23150";"23094"
"Sluis-Aardenburg";"Bevolking aan het einde van de periode";"aantal";"6601";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Smallingerland";"Bevolking aan het einde van de periode";"aantal";"53740";"54053";"54432";"54859";"54956";"54962";"55201";"55271";"55436";"55456";"55454";"55467";"55635";"55439";"55695";"55889";"55938";"56150";"56040";"55895";"56098";"56661";"57084"
"Sneek";"Bevolking aan het einde van de periode";"aantal";"32862";"32836";"32910";"33029";"33106";"33216";"33260";"33431";"33573";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Soest";"Bevolking aan het einde van de periode";"aantal";"44792";"44906";"45087";"45217";"45360";"45560";"45711";"45680";"45611";"45612";"45508";"45493";"45454";"45487";"45874";"46089";"46194";"46606";"46906";"47113";"47439";"47682";"47999"
"Someren";"Bevolking aan het einde van de periode";"aantal";"18413";"18223";"18113";"18118";"18134";"18211";"18229";"18229";"18317";"18580";"18628";"18690";"18695";"18914";"19036";"19120";"19322";"19368";"19428";"19701";"20061";"20188";"20200"
"Son en Breugel";"Bevolking aan het einde van de periode";"aantal";"15017";"15070";"15136";"15297";"15306";"15448";"15527";"15543";"15653";"15822";"16138";"16235";"16344";"16425";"16626";"16753";"16904";"17322";"17552";"17775";"18010";"17959";"18131"
"Spijkenisse";"Bevolking aan het einde van de periode";"aantal";"75354";"75170";"74756";"74506";"73885";"73107";"72521";"72345";"72244";"72171";"72375";"72561";"72740";"";"";"";"";"";"";"";"";"";""
"Stadskanaal";"Bevolking aan het einde van de periode";"aantal";"33695";"33708";"33804";"34146";"34123";"33817";"33430";"33416";"33122";"32998";"32885";"32803";"32610";"32621";"32252";"32258";"31789";"31686";"31754";"31851";"32135";"32013";"32038"
"Staphorst";"Bevolking aan het einde van de periode";"aantal";"15565";"15665";"15709";"15783";"15899";"15973";"16016";"16153";"16179";"16224";"16275";"16367";"16421";"16544";"16691";"16797";"17003";"17145";"17261";"17282";"17628";"17739";"17968"
"Stede Broec";"Bevolking aan het einde van de periode";"aantal";"21171";"21386";"21480";"21400";"21345";"21372";"21289";"21274";"21402";"21468";"21430";"21485";"21498";"21493";"21552";"21670";"21706";"21726";"21743";"21947";"22138";"22217";"22253"
"Steenbergen";"Bevolking aan het einde van de periode";"aantal";"23386";"23484";"23435";"23356";"23301";"23211";"23229";"23224";"23273";"23354";"23400";"23374";"23638";"23477";"23970";"24781";"25054";"24416";"24310";"24333";"24610";"24476";"24567"
"Steenderen";"Bevolking aan het einde van de periode";"aantal";"5086";"5087";"5113";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Steenwijk";"Bevolking aan het einde van de periode";"aantal";"42358";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Steenwijkerland";"Bevolking aan het einde van de periode";"aantal";"";"42846";"42833";"43122";"43127";"43282";"43215";"43208";"43281";"43402";"43437";"43350";"43219";"43333";"43448";"43768";"43940";"44126";"44341";"44741";"45376";"45472";"45716"
"Stein (L.)";"Bevolking aan het einde van de periode";"aantal";"26596";"26608";"26772";"26656";"26331";"26091";"25865";"25673";"25709";"25623";"25431";"25390";"25134";"25064";"25059";"24987";"24961";"25007";"24875";"24803";"24772";"24744";"24653"
"Stichtse Vecht";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"63311";"63491";"63856";"63943";"64061";"64450";"64513";"64336";"64931";"65108";"65240";"65771";"65878";"66130"
"Strijen";"Bevolking aan het einde van de periode";"aantal";"9253";"9312";"9259";"9195";"9129";"9055";"8972";"8916";"8868";"8848";"8777";"8683";"8716";"8766";"8785";"8793";"8776";"";"";"";"";"";""
"Súdwest-Fryslân";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"82634";"82639";"82527";"84164";"84048";"84158";"84183";"89710";"89987";"89999";"90300";"90883";"90421";"90534"
"Susteren";"Bevolking aan het einde van de periode";"aantal";"12960";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Swalmen";"Bevolking aan het einde van de periode";"aantal";"8687";"8764";"8812";"8844";"8790";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Terneuzen";"Bevolking aan het einde van de periode";"aantal";"34634";"55412";"55361";"55414";"55268";"55155";"55149";"54878";"54823";"54742";"54729";"54709";"54577";"54657";"54588";"54440";"54589";"54426";"54463";"54501";"54993";"55132";"55653"
"Terschelling";"Bevolking aan het einde van de periode";"aantal";"4723";"4725";"4731";"4729";"4707";"4705";"4740";"4733";"4721";"4748";"4795";"4780";"4827";"4870";"4859";"4906";"4890";"4888";"4870";"4960";"4928";"4898";"4923"
"Texel";"Bevolking aan het einde van de periode";"aantal";"13825";"13735";"13739";"13708";"13618";"13547";"13691";"13779";"13728";"13668";"13662";"13552";"13581";"13574";"13545";"13584";"13547";"13575";"13656";"13687";"13979";"13815";"13846"
"Teylingen";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"35008";"35308";"35533";"35759";"35812";"35669";"35800";"35735";"35646";"36013";"36093";"36584";"37061";"37440";"37791";"37942";"38510";"38470";"38411"
"Tholen";"Bevolking aan het einde van de periode";"aantal";"23990";"24386";"24676";"24892";"25155";"25264";"25368";"25410";"25489";"25540";"25514";"25408";"25440";"25421";"25527";"25583";"25780";"25757";"26085";"26401";"26825";"26851";"26942"
"Thorn";"Bevolking aan het einde van de periode";"aantal";"2543";"2528";"2598";"2583";"2584";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tiel";"Bevolking aan het einde van de periode";"aantal";"40515";"40609";"40542";"40966";"41191";"41132";"41070";"41192";"41181";"41527";"41751";"41755";"41590";"41510";"41488";"41465";"41978";"42159";"41920";"42277";"42604";"42370";"42575"
"Tilburg";"Bevolking aan het einde van de periode";"aantal";"197917";"198767";"199068";"200346";"201259";"202091";"203464";"204853";"206240";"207580";"208527";"210270";"211648";"212941";"213804";"215588";"217259";"219789";"220505";"224459";"227707";"229836";"230357"
"Tubbergen";"Bevolking aan het einde van de periode";"aantal";"20262";"20298";"20508";"20601";"20724";"20797";"20992";"21145";"21171";"21206";"21172";"21206";"21142";"21120";"21153";"21213";"21276";"21275";"21315";"21364";"21408";"21397";"21507"
"Twenterand";"Bevolking aan het einde van de periode";"aantal";"";"33493";"33549";"33438";"33461";"33461";"33605";"33580";"33727";"33929";"33971";"33929";"33874";"33846";"33845";"33903";"33792";"33743";"33699";"33718";"33867";"34073";"34113"
"Tynaarlo";"Bevolking aan het einde van de periode";"aantal";"31998";"32203";"32301";"31977";"31731";"31974";"32236";"32408";"32450";"32357";"32456";"32493";"32570";"32804";"33280";"33462";"33698";"33887";"33978";"34221";"34592";"34736";"35011"
"Tytsjerksteradiel";"Bevolking aan het einde van de periode";"aantal";"31696";"31963";"32016";"32142";"32322";"32243";"32211";"32237";"32178";"32164";"31979";"31973";"31957";"32077";"31963";"31870";"31780";"32052";"32060";"32282";"32408";"32595";"32821"
"Ubbergen";"Bevolking aan het einde van de periode";"aantal";"9250";"9362";"9462";"9401";"9369";"9325";"9366";"9333";"9358";"9387";"9504";"9451";"9416";"";"";"";"";"";"";"";"";"";""
"Uden";"Bevolking aan het einde van de periode";"aantal";"40113";"40064";"40183";"40201";"40203";"40126";"40360";"40536";"40721";"40805";"40948";"40913";"41089";"41247";"41384";"41725";"41782";"42119";"42291";"42466";"";"";""
"Uitgeest";"Bevolking aan het einde van de periode";"aantal";"11772";"11783";"11787";"11915";"12061";"12205";"12434";"12664";"12819";"12897";"13061";"13234";"13291";"13360";"13465";"13520";"13528";"13666";"13632";"13563";"13472";"13400";"13427"
"Uithoorn";"Bevolking aan het einde van de periode";"aantal";"26680";"26763";"26969";"26844";"26977";"27501";"27660";"28053";"28114";"28317";"28387";"28418";"28731";"29181";"29201";"29445";"29424";"29478";"30206";"31018";"31442";"31685";"32115"
"Urk";"Bevolking aan het einde van de periode";"aantal";"16748";"17044";"17262";"17458";"17585";"17825";"18062";"18310";"18678";"18950";"19225";"19470";"19705";"19987";"20220";"20524";"20763";"21031";"21227";"21468";"21829";"21958";"22173"
"Utrecht (gemeente)";"Bevolking aan het einde van de periode";"aantal";"265151";"270244";"275258";"280949";"288401";"294737";"299891";"307081";"311367";"316275";"321916";"328164";"334176";"338967";"343038";"347483";"352866";"357597";"359370";"361699";"367947";"374238";"376757"
"Utrechtse Heuvelrug";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"48846";"48979";"48893";"48801";"48726";"48267";"48092";"47951";"48183";"48506";"49035";"49314";"49515";"49580";"49946";"49981";"50429";"50550";"50945"
"Vaals";"Bevolking aan het einde van de periode";"aantal";"10628";"10423";"10229";"10068";"9959";"9838";"9825";"9870";"9805";"9749";"9771";"9685";"9694";"9632";"9710";"9874";"10092";"10105";"10084";"10135";"10190";"10121";"10007"
"Valkenburg (ZH.)";"Bevolking aan het einde van de periode";"aantal";"3768";"3813";"3881";"3901";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Valkenburg aan de Geul";"Bevolking aan het einde van de periode";"aantal";"17896";"17768";"17561";"17280";"17186";"17099";"17071";"17090";"17024";"16945";"16814";"16675";"16618";"16518";"16440";"16431";"16470";"16367";"16365";"16167";"16423";"16431";"16464"
"Valkenswaard";"Bevolking aan het einde van de periode";"aantal";"31111";"31091";"31057";"30924";"30908";"30867";"30871";"30725";"30622";"30666";"30584";"30335";"30234";"30262";"30516";"30654";"30910";"31193";"31221";"31236";"31527";"31714";"31955"
"Veendam";"Bevolking aan het einde van de periode";"aantal";"28397";"28275";"28250";"28185";"28117";"28058";"27995";"28024";"27981";"27920";"27914";"27792";"27695";"27467";"27527";"27508";"27491";"27384";"27417";"27466";"27616";"27520";"27687"
"Veenendaal";"Bevolking aan het einde van de periode";"aantal";"60953";"61111";"61381";"61669";"61706";"61769";"62008";"62053";"62267";"62870";"63032";"63252";"63440";"63816";"64277";"64918";"65589";"66493";"66912";"67671";"68525";"69440";"70352"
"Veere";"Bevolking aan het einde van de periode";"aantal";"22087";"22130";"22039";"21946";"21950";"21998";"21960";"21914";"21926";"21959";"21903";"21868";"21926";"21960";"21900";"21867";"21835";"21880";"21953";"21850";"22045";"22067";"21945"
"Veghel";"Bevolking aan het einde van de periode";"aantal";"36467";"36810";"36893";"36777";"36732";"36913";"37125";"37303";"37476";"37553";"37437";"37464";"37754";"38078";"38255";"";"";"";"";"";"";"";""
