"Bevolkingsontwikkeling; regio per maand";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Perioden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regio's;Onderwerp;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024;2025 januari*;2025 februari*;2025 maart*;2025 april *;2025 mei*;2025 juni*;2025 juli*;2025 augustus*;2025 september*;2025 oktober*
Warmond;Bevolking aan het einde van de periode;aantal;4985;4977;4901;4956;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warnsveld;Bevolking aan het einde van de periode;aantal;9037;9223;9201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wassenaar;Bevolking aan het einde van de periode;aantal;25662;25506;25557;25622;25608;25763;25909;25816;25830;25762;25656;25675;25731;25885;26055;26084;26211;26305;26949;27115;27100;27525;27677;27810;27865;27911;27964;27970;27944;28052;28101;28048
Wateringen;Bevolking aan het einde van de periode;aantal;16316;16629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waterland;Bevolking aan het einde van de periode;aantal;17150;17266;17343;17267;17183;17026;16954;17057;17140;17010;17091;17134;17143;17304;17290;17259;17315;17424;17312;17343;17525;17556;17563;17576;17581;17621;17678;17703;17723;17735;17757;17744
Weert;Bevolking aan het einde van de periode;aantal;48785;48724;48707;48575;48484;48305;48332;48456;48563;48668;48587;48721;48914;49100;49574;49855;49842;50105;50011;50346;51079;51355;51364;51344;51357;51387;51433;51409;51419;51446;51461;51503
Weesp;Bevolking aan het einde van de periode;aantal;17885;17843;17671;17533;17556;17575;17577;17636;17987;18022;18151;18172;18348;18572;18751;19147;19334;19738;20445;20766;;;;;;;;;;;;
Wehl;Bevolking aan het einde van de periode;aantal;6771;6757;6803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Werkendam;Bevolking aan het einde van de periode;aantal;26384;26373;26518;26521;26519;26415;26409;26371;26353;26423;26405;26387;26452;26527;26844;26979;27295;;;;;;;;;;;;;;;
Wervershoof;Bevolking aan het einde van de periode;aantal;8470;8485;8557;8559;8527;8600;8705;8780;8746;;;;;;;;;;;;;;;;;;;;;;;
West Betuwe;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;;51128;51496;51971;52948;53253;53232;53212;53227;53270;53275;53273;53320;53406;53406;53418
West Maas en Waal;Bevolking aan het einde van de periode;aantal;18202;18232;18315;18376;18261;18320;18374;18413;18301;18325;18410;18419;18570;18693;18820;18891;19076;19324;19581;19675;20330;20594;20612;20608;20659;20635;20635;20658;20686;20700;20747;20773
Wester-Koggenland;Bevolking aan het einde van de periode;aantal;13765;13901;14043;14189;14294;;;;;;;;;;;;;;;;;;;;;;;;;;;
Westerkwartier;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;;63329;63678;64306;64896;64841;64874;64844;64882;64880;64938;64984;65050;65070;65017;65027
Westerveld;Bevolking aan het einde van de periode;aantal;19097;19036;19131;19256;19287;19333;19302;19342;19365;19198;19091;18933;19085;18940;19084;19152;19348;19460;19661;19854;20003;19983;20036;20027;19969;19950;19948;19959;19986;19982;20031;20030
Westervoort;Bevolking aan het einde van de periode;aantal;16162;16068;15945;15730;15599;15478;15277;15237;15336;15294;15199;15138;14992;15001;14991;15015;14944;14971;15014;14944;15151;15205;15178;15155;15169;15169;15200;15192;15214;15230;15231;15229
Westerwolde;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;25199;25733;26215;26571;26465;27421;27428;27581;27453;27340;27053;27024;26802;26604;25673;25326
Westland;Bevolking aan het einde van de periode;aantal;;;97858;98328;98869;99299;99436;99717;99776;101980;102698;103241;104302;104960;105632;107492;108603;110375;111382;112448;115941;116916;116971;117023;117112;117337;117513;117772;118071;118244;118334;118605
Weststellingwerf;Bevolking aan het einde van de periode;aantal;25802;25990;25958;25507;25500;25674;25802;25829;25846;25780;25595;25454;25525;25520;25608;25720;25840;25914;26130;26278;26487;26596;26600;26588;26627;26630;26626;26633;26685;26694;26661;26650
Westvoorne;Bevolking aan het einde van de periode;aantal;14243;14265;14243;14224;14128;14084;14031;14057;13992;13901;13890;13964;14083;14197;14257;14508;14626;14731;14900;14960;;;;;;;;;;;;
Wierden;Bevolking aan het einde van de periode;aantal;23444;23343;23493;23540;23439;23365;23462;23447;23630;23824;23807;23909;23874;23952;24225;24258;24351;24446;24538;24643;24931;25342;25348;25343;25372;25376;25437;25471;25484;25486;25504;25493
Wieringen;Bevolking aan het einde van de periode;aantal;8358;8451;8582;8693;8707;8636;8674;8644;8619;8562;;;;;;;;;;;;;;;;;;;;;;
Wieringermeer;Bevolking aan het einde van de periode;aantal;12626;12583;12496;12555;12668;12614;12559;12580;12576;12565;;;;;;;;;;;;;;;;;;;;;;
Wijchen;Bevolking aan het einde van de periode;aantal;39564;39878;39912;39509;39479;39660;39948;40148;40507;40734;41004;41043;40886;40814;40876;40847;40951;41110;41261;41344;41545;41836;41851;41859;41828;41894;41965;42002;42006;42017;42054;42061
Wijdemeren;Bevolking aan het einde van de periode;aantal;23237;23333;23298;23435;23571;23432;23327;23391;23312;23301;23221;23187;23176;23275;23447;23659;24013;24358;24463;24494;24605;24670;24640;24658;24663;24645;24616;24635;24633;24616;24619;24619
Wijk bij Duurstede;Bevolking aan het einde van de periode;aantal;23330;23511;23580;23464;23366;23306;23252;23157;23115;23064;23035;23043;23222;23384;23502;23678;23762;23914;23925;23921;23945;23831;23817;23797;23769;23756;23730;23724;23707;23724;23736;23729
Winschoten;Bevolking aan het einde van de periode;aantal;18494;18500;18458;18501;18476;18358;18322;18271;;;;;;;;;;;;;;;;;;;;;;;;
Winsum;Bevolking aan het einde van de periode;aantal;14204;14257;14321;14021;14003;13925;14084;14073;14054;13987;13906;13850;13774;13633;13596;13560;13505;;;;;;;;;;;;;;;
Winterswijk;Bevolking aan het einde van de periode;aantal;28975;29299;29275;29137;29249;29182;29028;29051;29026;28946;28967;28881;28977;28939;28912;28987;28903;28854;29022;29185;29231;29232;29242;29269;29299;29287;29283;29307;29325;29328;29302;29332
Wisch;Bevolking aan het einde van de periode;aantal;19573;19534;19481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Woensdrecht;Bevolking aan het einde van de periode;aantal;21557;21415;21217;21141;21497;21637;21700;21635;21682;21675;21648;21621;21644;21682;21837;21800;21866;21876;22028;22112;22208;22194;22200;22283;22316;22330;22321;22321;22300;22316;22323;22313
Woerden;Bevolking aan het einde van de periode;aantal;47762;48096;48118;47912;48016;48383;48885;49334;49748;50052;50346;50577;50631;51161;51513;51758;52197;52299;52694;52882;53724;53976;54014;54010;54123;54117;54113;54115;54139;54120;54188;54203
Wognum;Bevolking aan het einde van de periode;aantal;8132;8081;8130;8192;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Wolden;Bevolking aan het einde van de periode;aantal;23969;23850;23844;23787;23602;23554;23544;23576;23637;23753;23761;23583;23661;23722;23744;23917;24110;24330;24374;24511;24580;24672;24665;24687;24688;24721;24731;24757;24790;24794;24778;24777
Wormerland;Bevolking aan het einde van de periode;aantal;15510;15765;15836;15796;15856;15901;15900;15862;15801;15781;15740;15777;15740;15664;15820;15995;16329;16270;16333;16381;16552;16421;16404;16386;16383;16370;16379;16403;16391;16367;16375;16330
Woudenberg;Bevolking aan het einde van de periode;aantal;11151;11228;11237;11211;11403;11592;11744;11905;12008;12034;12321;12422;12487;12550;12701;13021;13166;13362;13639;13873;14637;14760;14770;14824;14869;14879;14896;14957;15011;15036;15033;15071
Woudrichem;Bevolking aan het einde van de periode;aantal;14408;14307;14404;14390;14328;14421;14378;14430;14423;14416;14443;14425;14388;14518;14539;14634;14770;;;;;;;;;;;;;;;
Wûnseradiel;Bevolking aan het einde van de periode;aantal;11935;11939;11881;11891;11897;11855;11849;11829;11849;;;;;;;;;;;;;;;;;;;;;;;
Wymbritseradiel;Bevolking aan het einde van de periode;aantal;16204;16312;16354;16213;16163;16078;16051;16138;16078;;;;;;;;;;;;;;;;;;;;;;;
Zaanstad;Bevolking aan het einde van de periode;aantal;139464;139774;139817;140270;141402;142863;144055;145332;146940;148281;149622;150598;151418;152466;153679;154865;155885;156794;156901;157166;161389;162828;163059;163238;163507;163822;164016;164143;164488;164589;164860;165097
Zaltbommel;Bevolking aan het einde van de periode;aantal;25999;26191;26145;26191;26194;26185;26218;26428;26643;26774;26953;27182;27358;27543;27728;28014;28451;28881;29447;29957;30385;30412;30392;30429;30490;30559;30572;30615;30606;30591;30631;30661
Zandvoort;Bevolking aan het einde van de periode;aantal;16864;16866;16709;16651;16599;16665;16607;16632;16632;16651;16593;16575;16692;16792;16899;16970;17011;17116;17168;17107;17469;17374;17340;17331;17297;17308;17294;17262;17294;17323;17328;17340
Zederik;Bevolking aan het einde van de periode;aantal;13556;13546;13553;13499;13467;13389;13399;13397;13342;13434;13538;13656;13717;13718;13842;14004;14020;;;;;;;;;;;;;;;
Zeevang;Bevolking aan het einde van de periode;aantal;6324;6323;6268;6274;6318;6306;6297;6307;6350;6344;6317;6341;6306;6241;;;;;;;;;;;;;;;;;;
Zeewolde;Bevolking aan het einde van de periode;aantal;19398;19180;19120;19421;19704;20286;20773;20906;21106;21288;21262;21499;21894;22113;22457;22407;22309;22653;22879;23348;23899;24291;24369;24527;24538;24554;24609;24602;24565;24552;24579;24651
Zeist;Bevolking aan het einde van de periode;aantal;59799;60373;60408;60369;60326;60488;60383;60286;60824;61233;61420;61250;61641;62258;62830;63322;63934;64905;65043;65987;66641;66671;66630;66623;66661;66692;66643;66592;66660;66664;66691;66682
Zelhem;Bevolking aan het einde van de periode;aantal;11214;11269;11295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zevenaar;Bevolking aan het einde van de periode;aantal;25965;26014;26253;31680;31884;31816;31809;31907;32234;32429;32405;32283;32265;32269;32379;32592;43488;43750;44096;44645;45041;45215;45257;45299;45286;45279;45315;45351;45452;45459;45528;45583
Zevenhuizen-Moerkapelle;Bevolking aan het einde van de periode;aantal;10150;10198;10270;10325;10369;10314;10402;10531;;;;;;;;;;;;;;;;;;;;;;;;
Zijpe;Bevolking aan het einde van de periode;aantal;11314;11381;11484;11558;11558;11512;11566;11587;11577;11589;11519;;;;;;;;;;;;;;;;;;;;;
Zoetermeer;Bevolking aan het einde van de periode;aantal;112594;114216;115792;116979;118024;119504;120881;121532;121911;122331;123092;123561;124025;124107;124763;124695;124944;125285;125267;125767;128434;129862;129997;130078;130069;130228;130331;130459;130555;130647;130672;130661
Zoeterwoude;Bevolking aan het einde van de periode;aantal;8593;8526;8509;8501;8400;8303;8193;8118;8130;8171;8122;8075;8114;8119;8367;8430;8450;8605;8843;9302;9732;10141;10236;10271;10312;10336;10334;10368;10361;10363;10349;10348
Zuidhorn;Bevolking aan het einde van de periode;aantal;18109;18150;18287;18459;18465;18374;18478;18568;18631;18681;18699;18775;18733;18794;18859;18917;19066;;;;;;;;;;;;;;;
Zuidplas;Bevolking aan het einde van de periode;aantal;;;;;;;;;40521;40673;40779;40892;40771;40937;41468;41882;42762;43885;45064;45794;47843;48726;48759;48812;48828;48885;48948;48965;48968;49021;49088;49232
Zundert;Bevolking aan het einde van de periode;aantal;20386;20431;20554;20797;20849;20947;21083;21025;21163;21221;21241;21399;21363;21488;21657;21525;21612;21829;21988;22260;22553;22809;22827;22860;22929;23014;23174;23219;23233;23223;23127;23139
Zutphen;Bevolking aan het einde van de periode;aantal;36924;36552;36936;46642;46635;46762;46953;46870;47084;47144;47240;47164;46849;46997;47340;47537;47609;47934;48111;48330;48752;49028;49052;49057;49130;49177;49215;49268;49316;49322;49332;49344
Zwartewaterland;Bevolking aan het einde van de periode;aantal;22206;22034;21877;21872;21919;21930;21944;21935;22018;22048;22139;22167;22166;22278;22309;22468;22503;22685;22823;23012;23448;23507;23548;23536;23535;23529;23558;23585;23659;23660;23660;23667
Zwijndrecht;Bevolking aan het einde van de periode;aantal;41374;45384;45209;44588;44400;44472;44312;44404;44445;44499;44610;44547;44501;44454;44417;44586;44639;44737;44775;44789;44874;44669;44725;44774;44828;44795;44781;44835;44887;44873;44842;44841
Zwolle;Bevolking aan het einde van de periode;aantal;109955;110880;111900;113078;114635;116365;117703;119030;120355;121527;122562;123159;123861;124896;125548;126116;127497;128840;129840;130668;133141;133810;133728;133836;133801;133857;133851;133872;133820;133863;134089;134139
Bron: CBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
