"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"BevolkingAanHetEindeVanDePeriode_15"
"21014";"GM0034";"2004JJ00";"170704";"175007"
"21027";"GM0034";"2005JJ00";"175007";"178466"
"21040";"GM0034";"2006JJ00";"178466";"180924"
"21053";"GM0034";"2007JJ00";"180924";"183270"
"21066";"GM0034";"2008JJ00";"183270";"185746"
"21079";"GM0034";"2009JJ00";"185746";"188160"
"21092";"GM0034";"2010JJ00";"188160";"190655"
"21105";"GM0034";"2011JJ00";"190655";"193163"
"21118";"GM0034";"2012JJ00";"193163";"195213"
"21131";"GM0034";"2013JJ00";"195213";"196013"
"21144";"GM0034";"2014JJ00";"196013";"196932"
"21157";"GM0034";"2015JJ00";"196932";"198145"
"21170";"GM0034";"2016JJ00";"198145";"200914"
"21183";"GM0034";"2017JJ00";"200914";"203990"
"21196";"GM0034";"2018JJ00";"203990";"207904"
"21209";"GM0034";"2019JJ00";"207904";"211893"
"21222";"GM0034";"2020JJ00";"211893";"214715"
"21235";"GM0034";"2021JJ00";"214715";"217828"
"21248";"GM0034";"2022JJ00";"217828";"222825"
"21261";"GM0034";"2023JJ00";"222825";"226500"
"21274";"GM0034";"2024JJ00";"226500";"229574"
"21292";"GM0484";"2002JJ00";"70649";"70706"
"21305";"GM0484";"2003JJ00";"70706";"70477"
"21318";"GM0484";"2004JJ00";"70477";"70591"
"21331";"GM0484";"2005JJ00";"70591";"70955"
"21344";"GM0484";"2006JJ00";"70955";"71100"
"21357";"GM0484";"2007JJ00";"71100";"71658"
"21370";"GM0484";"2008JJ00";"71658";"72178"
"21383";"GM0484";"2009JJ00";"72178";"72534"
"21396";"GM0484";"2010JJ00";"72534";"72680"
"21409";"GM0484";"2011JJ00";"72680";"72853"
"21422";"GM0484";"2012JJ00";"72853";"72913"
"21435";"GM0484";"2013JJ00";"72913";"73124"
"21448";"GM0484";"2014JJ00";"106785";"107396"
"21461";"GM0484";"2015JJ00";"107396";"107960"
"21474";"GM0484";"2016JJ00";"107960";"108915"
"21487";"GM0484";"2017JJ00";"108915";"109682"
"21500";"GM0484";"2018JJ00";"109682";"110986"
"21513";"GM0484";"2019JJ00";"110986";"111897"
"21526";"GM0484";"2020JJ00";"111897";"112587"
"21539";"GM0484";"2021JJ00";"112587";"112926"
"21552";"GM0484";"2022JJ00";"112926";"114182"
"21565";"GM0484";"2023JJ00";"114182";"114966"
