"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"52206";"T001038";"GM0995";"2024JJ00";"84713"
"56178";"T001038";"GM0935";"2012JJ00";"121819"
"56179";"T001038";"GM0935";"2013JJ00";"122488"
"56180";"T001038";"GM0935";"2014JJ00";"122397"
"56181";"T001038";"GM0935";"2015JJ00";"122533"
"56182";"T001038";"GM0935";"2016JJ00";"122753"
"56183";"T001038";"GM0935";"2017JJ00";"122723"
"56184";"T001038";"GM0935";"2018JJ00";"121565"
"56185";"T001038";"GM0935";"2019JJ00";"121575"
"56186";"T001038";"GM0935";"2020JJ00";"120227"
"56187";"T001038";"GM0935";"2021JJ00";"121151"
"56188";"T001038";"GM0935";"2022JJ00";"122734"
"56189";"T001038";"GM0935";"2023JJ00";"125285"
"56190";"T001038";"GM0935";"2024JJ00";"125563"
"58585";"T001038";"GM0687";"2012JJ00";"47523"
"58586";"T001038";"GM0687";"2013JJ00";"47642"
"58587";"T001038";"GM0687";"2014JJ00";"47613"
"58588";"T001038";"GM0687";"2015JJ00";"47873"
"58589";"T001038";"GM0687";"2016JJ00";"48019"
"58590";"T001038";"GM0687";"2017JJ00";"48303"
"58591";"T001038";"GM0687";"2018JJ00";"48544"
"58592";"T001038";"GM0687";"2019JJ00";"48822"
"58593";"T001038";"GM0687";"2020JJ00";"48964"
"58594";"T001038";"GM0687";"2021JJ00";"49199"
"58595";"T001038";"GM0687";"2022JJ00";"49956"
"58596";"T001038";"GM0687";"2023JJ00";"50004"
"58597";"T001038";"GM0687";"2024JJ00";"50152"
"64810";"T001038";"GM0268";"2012JJ00";"166382"
"64811";"T001038";"GM0268";"2013JJ00";"168292"
"64812";"T001038";"GM0268";"2014JJ00";"170681"
"64813";"T001038";"GM0268";"2015JJ00";"172064"
"64814";"T001038";"GM0268";"2016JJ00";"173556"
"64815";"T001038";"GM0268";"2017JJ00";"175948"
"64816";"T001038";"GM0268";"2018JJ00";"176756"
"64817";"T001038";"GM0268";"2019JJ00";"177659"
"64818";"T001038";"GM0268";"2020JJ00";"177359"
"64819";"T001038";"GM0268";"2021JJ00";"179100"
"64820";"T001038";"GM0268";"2022JJ00";"182480"
"64821";"T001038";"GM0268";"2023JJ00";"187049"
"64822";"T001038";"GM0268";"2024JJ00";"189007"
"78671";"T001038";"GM0599";"2012JJ00";"616294"
"78672";"T001038";"GM0599";"2013JJ00";"618357"
"78673";"T001038";"GM0599";"2014JJ00";"623652"
"78674";"T001038";"GM0599";"2015JJ00";"629606"
"78675";"T001038";"GM0599";"2016JJ00";"634660"
"78676";"T001038";"GM0599";"2017JJ00";"638712"
"78677";"T001038";"GM0599";"2018JJ00";"644618"
"78678";"T001038";"GM0599";"2019JJ00";"651168"
"78679";"T001038";"GM0599";"2020JJ00";"651631"
"78680";"T001038";"GM0599";"2021JJ00";"655468"
"78681";"T001038";"GM0599";"2022JJ00";"663900"
"78682";"T001038";"GM0599";"2023JJ00";"670610"
"78683";"T001038";"GM0599";"2024JJ00";"672960"
"88714";"T001038";"GM0855";"2012JJ00";"208527"
"88715";"T001038";"GM0855";"2013JJ00";"210270"
"88716";"T001038";"GM0855";"2014JJ00";"211648"
"88717";"T001038";"GM0855";"2015JJ00";"212941"
"88718";"T001038";"GM0855";"2016JJ00";"213804"
"88719";"T001038";"GM0855";"2017JJ00";"215588"
"88720";"T001038";"GM0855";"2018JJ00";"217259"
"88721";"T001038";"GM0855";"2019JJ00";"219789"
"88722";"T001038";"GM0855";"2020JJ00";"220505"
"88723";"T001038";"GM0855";"2021JJ00";"224459"
"88724";"T001038";"GM0855";"2022JJ00";"227707"
"88725";"T001038";"GM0855";"2023JJ00";"229836"
"88726";"T001038";"GM0855";"2024JJ00";"230357"
